2025-08-18 09:56:50,133 - 2025-08-18 09:56:50 - SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:14 2025 | Duration: 0s
2025-08-18 11:05:41,188 -  XMAS_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1011, 1025, 1042, 1093, 110, 111, 11110, 1124, 113, 1271, 135, 139, 143, 1500, 15004 | Ports Scanned: 50 | Start: Mon Jun  2 13:30:23 2025 | Duration: 8s
2025-08-18 11:05:41,189 -  SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:30:23 2025 | Duration: 0s
2025-08-18 11:05:41,189 -  SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 0 | Start: Mon Jun  2 13:30:22 2025 | Duration: 6s
2025-08-18 11:23:41,377 -  SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 0 | Start: Mon Jun  2 13:30:22 2025 | Duration: 6.678075075149536s
2025-08-18 11:23:41,378 -  XMAS_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1011, 1025, 1042, 1093, 110, 111, 11110, 1124, 113, 1271, 135, 139, 143, 1500, 15004 | Ports Scanned: 50 | Start: Mon Jun  2 13:30:23 2025 | Duration: 8.80516004562378s
2025-08-18 11:23:41,378 -  SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:30:23 2025 | Duration: 0.005849123001098633s
2025-08-18 11:23:52,151 -  UDP_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1041, 1049, 1065, 1068, 16896, 17185, 18683, 20360, 20445, 20540, 20791, 21360, 22053, 24644, 28547 | Ports Scanned: 40 | Start: Mon Jun  2 13:31:00 2025 | Duration: 8.497581005096436s
2025-08-18 11:23:57,257 -  SYN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 1025, 1053, 10566, 110, 111, 113, 12174, 1311, 135, 139, 143, 1720, 1723, 199 | Ports Scanned: 40 | Start: Mon Jun  2 13:27:36 2025 | Duration: 9.801394939422607s
2025-08-18 11:23:57,257 -  OS_FINGERPRINT ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:27:36 2025 | Duration: 9.801394939422607s
2025-08-18 11:23:57,257 -  SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:14 2025 | Duration: 0.009699821472167969s
