[ALERT] ACK_SCAN from 89.192.46.58 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 38984, 38988, 39350, 39366, 40732, 40734, 43848, 43864, 43870, 44818, 44826, 49930 | Ports Scanned: 12 | Count: 22 | Start: Fri Dec 19 16:14:36 2025 | Duration: 4.207227s
[ALERT] OS_FINGERPRINT from 89.192.46.58 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 24 | Start: Fri Dec 19 16:14:36 2025 | Duration: 4.207227s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.192.46.58 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 33 | Start: Fri Dec 19 16:14:36 2025 | Duration: 4.211503s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.192.46.58 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 34 | Start: Fri Dec 19 16:14:36 2025 | Duration: 4.415932s
[ALERT] ACK_SCAN from 89.192.46.58 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 38984, 38988, 39350, 39366, 40732, 40734, 43848, 43864, 43870, 44818, 44826, 49930 | Ports Scanned: 12 | Count: 25 | Start: Fri Dec 19 16:14:36 2025 | Duration: 4.415896s
[ALERT] OS_FINGERPRINT from 89.192.46.58 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 27 | Start: Fri Dec 19 16:14:36 2025 | Duration: 4.415896s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.194.32.5 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 47 | Start: Fri Dec 19 16:14:35 2025 | Duration: 6.972602s
[ALERT] ACK_SCAN from 89.194.32.5 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32980, 32988, 34860, 36614, 36618, 40446, 40452, 58368, 58372, 58376, 59686, 59696, 59702 | Ports Scanned: 13 | Count: 34 | Start: Fri Dec 19 16:14:35 2025 | Duration: 6.755572s
[ALERT] OS_FINGERPRINT from 89.194.32.5 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 37 | Start: Fri Dec 19 16:14:35 2025 | Duration: 6.755572s
[ALERT] ACK_SCAN from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32880, 32892, 32902, 37786, 37796, 37812, 41346, 41352, 41360, 44140, 44156, 44160, 44174, 55408, 59436 | Ports Scanned: 15 | Count: 69 | Start: Fri Dec 19 16:14:33 2025 | Duration: 8.752335s
[ALERT] OS_FINGERPRINT from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 73 | Start: Fri Dec 19 16:14:33 2025 | Duration: 8.752335s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.192.55.176 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 77 | Start: Fri Dec 19 16:14:33 2025 | Duration: 8.763246s
[ALERT] ACK_SCAN from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32880, 32892, 32902, 37786, 37796, 37812, 41346, 41352, 41360, 44140, 55408, 59436, 59648, 59664, 59668 | Ports Scanned: 15 | Count: 40 | Start: Fri Dec 19 16:14:30 2025 | Duration: 9.714958s
[ALERT] OS_FINGERPRINT from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 41 | Start: Fri Dec 19 16:14:30 2025 | Duration: 9.714958s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.192.55.176 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 42 | Start: Fri Dec 19 16:14:30 2025 | Duration: 9.536737s
[ALERT] ACK_SCAN from 89.192.46.58 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 38984, 38988, 39350, 39366, 39372, 39376, 40732, 40734, 43848, 43864, 43870, 44818, 44826, 49930 | Ports Scanned: 14 | Count: 41 | Start: Fri Dec 19 16:14:36 2025 | Duration: 6.514245s
[ALERT] OS_FINGERPRINT from 89.192.46.58 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 46 | Start: Fri Dec 19 16:14:36 2025 | Duration: 7.571931s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.192.46.58 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 58 | Start: Fri Dec 19 16:14:36 2025 | Duration: 7.572520s
[ALERT] ACK_SCAN from 89.194.32.5 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32980, 32988, 34860, 36614, 36618, 40446, 40452, 58368, 58372, 58376, 58380, 58388, 58404, 59686, 59696 | Ports Scanned: 15 | Count: 56 | Start: Fri Dec 19 16:14:35 2025 | Duration: 9.347072s
